car_id,model,car_type,fuel_type,target_class,min_rating,mean_rating,max_speed,driver_rating_mean,driver_accident_mean,avg_destroy_degree,total_work_duration,speed_avg_mean,speed_avg_std,year,price,power,box
I49569137x,Kia Rio,economy,petrol,engine_check,0.16,4.70051724137931,153.54720575175003,8.112068965517242,14.991935483870968,2.5285714285714285,942,44.0,10.008666764590789,2020.0,944900.0,100.0,Механическая
f20619972B,Skoda Rapid,economy,petrol,engine_check,0.1,4.57948275862069,158.0,8.114367816091955,17.390243902439025,3.2,1078,44.16666666666666,10.132693798904151,2019.0,847000.0,90.0,Механическая
N18554472N,Smart Coupe,economy,petrol,engine_check,0.1,4.6533908045977,164.0,8.14080459770115,17.417391304347827,2.7485714285714287,863,45.64367816091954,9.807955967772443,,,,
O-2225875m,VW Tiguan,economy,petrol,wheel_shake,0.13,4.642126436781609,126.51942289744318,8.035632183908046,16.81512605042017,3.3485714285714288,912,44.53448275862069,10.574069358317011,,,,
B11433908y,VW Tiguan,economy,petrol,engine_fuel,0.1,4.031896551724138,165.91195642713998,8.074137931034484,16.876033057851238,3.597142857142857,924,50.30459770114943,14.671126202745082,,,,
K20059604P,Skoda Rapid,economy,petrol,electro_bug,0.0,4.285747126436782,209.98283950882248,8.017241379310345,7.166666666666667,3.051428571428571,992,48.37356321839081,14.018303145111204,2019.0,847000.0,90.0,Механическая
D10115495S,Smart ForTwo,economy,petrol,gear_stick,0.1,4.387931034482759,101.83942030119768,7.840229885057472,9.045977011494251,4.094285714285714,1023,44.67816091954023,9.576578187297558,2014.0,890000.0,71.0,Механическая
s-2136281x,Smart ForTwo,economy,petrol,engine_fuel,0.1,3.85867816091954,161.08277896296124,8.032183908045976,18.08,3.717142857142857,1059,52.63218390804597,14.595204646430435,2014.0,890000.0,71.0,Механическая
z72983842Y,Kia Rio X,economy,petrol,gear_stick,0.1,4.456436781609195,120.02441407681069,7.829885057471265,9.491329479768789,4.388571428571429,1062,44.33908045977012,10.379223982506492,2020.0,944900.0,100.0,Механическая
s-1094161i,Mercedes-Benz E200,business,petrol,engine_overheat,0.1,4.447126436781609,175.24442527517795,8.086206896551724,9.739884393063583,3.848571428571428,894,48.72413793103448,13.745994397252764,,,,
Z-1155909A,Nissan Qashqai,standart,petrol,engine_overheat,0.1,3.897471264367816,181.59713594116903,7.787931034482758,8.313953488372093,3.68,984,50.76436781609196,14.995440362955602,2017.0,1413000.0,115.0,Механическая
Z-1196295K,Smart ForTwo,economy,petrol,engine_overheat,0.1,4.130114942528736,186.1179531519749,7.908620689655172,9.264367816091951,4.731428571428571,863,50.3448275862069,13.918696691865923,2014.0,890000.0,71.0,Механическая
i31421704Y,Renault Kaptur,standart,petrol,engine_check,0.1,4.571494252873563,156.0,8.059770114942529,18.204918032786885,3.145714285714285,1023,43.80459770114943,9.4628437726175,2020.0,1140000.0,114.0,Механическая
t10463236f,Mini Cooper,business,petrol,engine_ignition,0.1,4.074942528735632,195.2360632275796,8.017816091954023,7.390804597701149,3.0885714285714285,912,50.68390804597701,14.091692904557323,2014.0,1950000.0,231.0,Классический автомат
v13404305i,Kia Sportage,standart,petrol,break_bug,0.33,5.331206896551724,112.2626779670123,7.998850574712644,6.965517241379311,3.6885714285714286,859,45.172413793103445,9.888636435632025,2018.0,1544900.0,150.0,Механическая
m20203244V,Kia Rio,economy,petrol,engine_overheat,0.1,4.217011494252874,177.13405127768635,7.8356321839080465,9.275862068965518,3.748571428571428,876,49.89655172413793,14.92798472417006,2020.0,944900.0,100.0,Механическая
k-1015732Y,Nissan Qashqai,standart,petrol,engine_overheat,0.1,4.1498275862068965,197.5346514078148,7.83735632183908,8.948275862068966,4.694285714285715,956,51.05747126436781,15.520529996491808,2017.0,1413000.0,115.0,Механическая
m-8965256V,VW Tiguan,economy,petrol,engine_ignition,0.1,4.067528735632184,183.49692933404805,7.967241379310344,6.982758620689655,2.3342857142857145,936,49.33908045977012,14.371011736837096,,,,
U13022243O,Renault Sandero,standart,petrol,electro_bug,0.0,3.916206896551724,185.339612336748,8.020689655172413,7.689655172413793,3.237142857142857,857,49.37356321839081,13.797192977228866,2018.0,697000.0,82.0,Механическая
j12330862q,Hyundai Solaris,economy,petrol,gear_stick,0.1,4.660172413793103,101.33342383388566,7.80632183908046,9.44767441860465,3.237142857142857,927,44.51724137931034,10.229575244704144,2020.0,780000.0,100.0,Механическая
C-5320082T,Kia Rio X,economy,petrol,electro_bug,0.0,4.278965517241379,172.0510387003145,8.030459770114943,8.454022988505747,2.6228571428571428,829,50.41379310344828,14.514136401157227,2020.0,944900.0,100.0,Механическая
s17672064L,Smart ForTwo,economy,petrol,gear_stick,0.1,4.508448275862069,110.02402089612136,7.852298850574712,9.098265895953755,3.4657142857142857,985,44.02873563218391,9.74022596556884,2014.0,890000.0,71.0,Механическая
d19359573S,Smart ForTwo,economy,petrol,engine_overheat,0.1,3.944827586206896,193.7127461972635,7.850574712643678,9.248554913294798,4.191428571428571,921,48.7183908045977,13.975867133577305,2014.0,890000.0,71.0,Механическая
O22361854N,VW Polo VI,economy,petrol,engine_overheat,0.1,4.046149425287356,192.4459711469768,7.749425287356322,9.114942528735632,2.8,917,47.770114942528735,14.160272644762,,,,
i-1479300M,Skoda Rapid,economy,petrol,another_bug,0.1,4.67183908045977,169.08232539229763,8.063218390804598,15.263565891472869,3.8,848,45.98850574712644,11.276856706381764,2019.0,847000.0,90.0,Механическая
L60286103R,VW Polo VI,economy,petrol,break_bug,0.36,5.319080459770115,122.63770448111772,8.020114942528735,7.517241379310345,3.105714285714286,919,44.97701149425287,10.697065678895102,,,,
p26377723i,Hyundai Solaris,economy,petrol,break_bug,0.45,5.414597701149425,113.61741681708182,8.00919540229885,6.890804597701149,3.9,883,45.367816091954026,9.597826033385807,2020.0,780000.0,100.0,Механическая
W-1512641W,Renault Kaptur,standart,petrol,engine_overheat,0.1,4.275977011494253,189.4908427961317,7.912643678160919,9.815028901734104,4.645714285714286,946,49.58045977011494,14.58607570293213,2020.0,1140000.0,114.0,Механическая
y-3838245t,Kia Sportage,standart,petrol,engine_overheat,0.1,4.044310344827586,181.5948050220017,7.855747126436782,8.982558139534884,2.74,919,51.195402298850574,14.214572901962155,2018.0,1544900.0,150.0,Механическая
b-2719977Z,Kia Rio X,economy,petrol,another_bug,0.94,4.767241379310345,200.0,8.083333333333334,13.945736434108529,3.2142857142857144,942,43.867816091954026,9.374655221441246,2020.0,944900.0,100.0,Механическая
D-2109758O,VW Tiguan,economy,petrol,engine_fuel,0.1,3.9442528735632174,168.47728484452395,8.047126436781609,16.388429752066116,3.765714285714286,817,48.833333333333336,14.175238254650534,,,,
M89853598O,Kia Rio X,economy,petrol,engine_overheat,0.1,3.995,199.4113740601043,7.899999999999999,9.46551724137931,3.3457142857142856,819,51.43103448275862,14.669907938486167,2020.0,944900.0,100.0,Механическая
z34396656x,Nissan Qashqai,standart,petrol,engine_ignition,0.1,3.96396551724138,185.2793921491877,7.91551724137931,6.655172413793103,2.8885714285714283,975,51.58620689655172,15.424664374900791,2017.0,1413000.0,115.0,Механическая
S19803153J,Hyundai Solaris,economy,petrol,another_bug,0.12,4.627988505747126,177.0,8.063218390804598,17.70175438596491,3.505714285714286,1064,43.735632183908045,8.899515827727686,2020.0,780000.0,100.0,Механическая
y35650754l,VW Tiguan,economy,petrol,wheel_shake,0.1,4.63,124.25252355038036,8.068965517241379,15.042372881355933,2.782857142857143,853,43.62643678160919,8.964515271384931,,,,
U-1719392C,Skoda Rapid,economy,petrol,engine_overheat,0.1,3.972298850574712,197.01095885357128,7.856896551724137,9.167630057803468,4.722857142857143,1033,50.72413793103448,14.36211269432352,2019.0,847000.0,90.0,Механическая
Q12359942h,Kia Rio,economy,petrol,electro_bug,0.0,4.1194252873563215,176.29222859928723,7.979885057471264,7.574712643678161,3.617142857142857,802,50.32758620689656,15.201218308759334,2020.0,944900.0,100.0,Механическая
F-2082660j,Kia Rio X,economy,petrol,engine_ignition,0.1,4.167356321839081,191.0884826422516,7.969540229885058,7.068965517241379,3.125714285714286,779,49.63218390804597,13.961230333620671,2020.0,944900.0,100.0,Механическая
C15164392z,Skoda Rapid,economy,petrol,electro_bug,0.0,4.655459770114942,188.9783976993745,7.975287356321839,6.839080459770115,4.334285714285714,914,50.51724137931034,15.451854795573253,2019.0,847000.0,90.0,Механическая
A-6969550V,Smart ForFour,economy,petrol,engine_overheat,0.1,4.099540229885058,198.48929834405112,7.893103448275863,10.43103448275862,4.051428571428572,918,49.195402298850574,14.846683972582186,2014.0,890000.0,71.0,Механическая
H21489304G,Renault Kaptur,standart,petrol,another_bug,0.21,4.839252873563218,174.22778926826246,8.101149425287355,11.383928571428571,3.5,1002,44.55172413793103,11.046678281565375,2020.0,1140000.0,114.0,Механическая
Y-4731644Z,Kia Rio X,economy,petrol,electro_bug,0.0,4.926149425287356,173.3784470017017,8.079885057471264,7.954022988505747,3.211428571428572,914,47.0919540229885,12.06258456752702,2020.0,944900.0,100.0,Механическая
Y-1002609O,Renault Kaptur,standart,petrol,gear_stick,0.1,4.51735632183908,106.10855165450626,7.775287356321839,8.884393063583815,3.954285714285714,855,45.38505747126437,10.851387367527996,2020.0,1140000.0,114.0,Механическая
q11941907L,Skoda Rapid,economy,petrol,engine_ignition,0.1,3.8498275862068967,188.93888746580387,8.073563218390804,7.977011494252873,3.0771428571428574,1025,52.01724137931034,15.921946223272297,2019.0,847000.0,90.0,Механическая
W17831606Y,Hyundai Solaris,economy,petrol,another_bug,0.1,4.567528735632184,190.0,8.091954022988507,16.897435897435898,3.3028571428571425,808,44.37931034482759,10.127215526457125,2020.0,780000.0,100.0,Механическая
u-1788771U,VW Polo,economy,petrol,engine_fuel,0.1,4.005057471264368,176.41196496069557,8.120689655172415,20.43548387096774,4.445714285714286,949,51.17816091954023,14.085510328792145,,,,
F-1257166O,Kia Rio X,economy,petrol,engine_overheat,0.1,3.967126436781609,182.81232444321336,7.892528735632184,9.64367816091954,3.6885714285714286,907,48.45977011494253,14.640433833634194,2020.0,944900.0,100.0,Механическая
k82740809C,Renault Sandero,standart,petrol,engine_fuel,0.1,4.11235632183908,177.16996506616007,8.067241379310346,16.26271186440678,3.1,906,51.17816091954023,15.225753398122183,2018.0,697000.0,82.0,Механическая
A13746070T,Renault Sandero,standart,petrol,break_bug,0.1,5.20448275862069,123.619141685415,8.047701149425286,7.666666666666667,4.414285714285715,936,45.16091954022989,10.466984773459073,2018.0,697000.0,82.0,Механическая
E-1356165C,Kia Sportage,standart,petrol,break_bug,0.85,5.402298850574713,106.6379771119483,7.985057471264368,7.17816091954023,4.114285714285714,1023,44.41379310344828,9.525204440496116,2018.0,1544900.0,150.0,Механическая
w-1247670S,Nissan Qashqai,standart,petrol,engine_overheat,0.1,4.254425287356321,181.0461654805773,7.83448275862069,9.601156069364162,3.397142857142857,842,49.741379310344826,14.456104990519078,2017.0,1413000.0,115.0,Механическая
t11173721p,Kia Rio X,economy,petrol,engine_overheat,0.1,4.097758620689655,182.2791399577897,7.913218390804598,8.942196531791907,4.268571428571429,780,48.5919540229885,13.525832432073557,2020.0,944900.0,100.0,Механическая
i-1340626g,Smart ForTwo,economy,petrol,electro_bug,0.0,4.256264367816092,184.88662278210808,7.931609195402299,6.977011494252873,3.142857142857143,876,50.695402298850574,13.9915036815471,2014.0,890000.0,71.0,Механическая
G11530237Q,VW Polo VI,economy,petrol,engine_fuel,0.1,3.985344827586207,179.75906074515763,8.159770114942528,15.912280701754383,3.8314285714285714,876,48.88505747126437,13.47137859783318,,,,
z-1854947J,Smart Coupe,economy,petrol,another_bug,0.22,4.856896551724138,196.6015272676526,8.132758620689655,13.98165137614679,3.5142857142857142,892,44.672413793103445,9.793925091933174,,,,
G-1102710u,VW Polo,economy,petrol,electro_bug,0.0,4.346206896551724,198.5944433202849,7.991954022988505,8.005747126436782,4.002857142857143,859,49.4367816091954,15.824690702344302,,,,
q-1861373D,Smart ForTwo,economy,petrol,another_bug,0.1,4.795919540229885,181.0690689368081,8.148275862068965,18.871794871794872,3.76,1094,43.88505747126437,9.780747027933174,2014.0,890000.0,71.0,Механическая
F-1720906M,Volkswagen ID.4 ,premium,electro,another_bug,0.1,4.793275862068965,171.0,9.22528735632184,22.02912621359223,3.877142857142857,1043,44.90229885057471,10.06950960009834,,,,
N-1361542t,Kia Sportage,standart,petrol,engine_ignition,0.1,3.9530459770114943,191.02478969031603,7.929885057471264,6.5344827586206895,3.222857142857143,1007,49.62068965517241,14.403549160653444,2018.0,1544900.0,150.0,Механическая
b-1432630h,VW Polo,economy,petrol,wheel_shake,0.1,4.567471264367816,119.0,8.068390804597701,14.86065573770492,3.442857142857143,849,45.32183908045977,10.748834326232735,,,,
h-5381376K,Kia Sportage,standart,petrol,engine_ignition,0.1,4.288045977011494,191.9809966070908,7.922988505747126,7.057471264367816,2.1685714285714286,845,48.58620689655172,14.198470750625518,2018.0,1544900.0,150.0,Механическая
P-1870462h,Hyundai Solaris,economy,petrol,break_bug,0.1,5.322011494252873,136.88354743464512,7.859195402298851,7.339080459770115,2.9228571428571426,797,44.672413793103445,11.116390956472772,2020.0,780000.0,100.0,Механическая
v-9248915k,Kia Rio,economy,petrol,gear_stick,0.1,4.392011494252873,105.05018426587966,7.842528735632183,8.491329479768787,3.337142857142857,856,45.68390804597701,9.557134230337976,2020.0,944900.0,100.0,Механическая
K51907129A,Smart ForTwo,economy,petrol,electro_bug,0.0,4.191091954022989,200.0,7.959195402298851,7.442528735632184,3.3400000000000003,864,48.92528735632184,14.396135627841762,2014.0,890000.0,71.0,Механическая
X-1892335q,Hyundai Solaris,economy,petrol,engine_overheat,0.1,4.2748850574712645,191.66632929664712,7.741379310344827,8.982758620689655,2.8400000000000003,861,50.08045977011494,12.831697017242217,2020.0,780000.0,100.0,Механическая
v19385068r,Smart ForTwo,economy,petrol,wheel_shake,0.26,4.645114942528736,146.07247806839624,8.183333333333334,18.39090909090909,3.58,880,45.0919540229885,11.652117507238676,2014.0,890000.0,71.0,Механическая
m-9741436p,Kia Rio X-line,economy,petrol,electro_bug,0.0,4.294655172413793,180.94447330813827,7.970689655172414,7.942528735632184,3.517142857142857,979,50.00574712643678,14.01588575455787,2020.0,944900.0,100.0,Механическая
I13605989C,VW Tiguan,economy,petrol,wheel_shake,0.1,4.669022988505747,137.91845786696285,8.128735632183908,15.11111111111111,3.1942857142857144,830,44.367816091954026,10.003600441469656,,,,
C-1374739x,Hyundai Solaris,economy,petrol,another_bug,0.65,4.761091954022988,173.0,8.176436781609196,16.511627906976745,3.237142857142857,822,45.97701149425287,11.911015945073606,2020.0,780000.0,100.0,Механическая
h20080273C,Kia Rio,economy,petrol,wheel_shake,0.1,4.368850574712644,131.8727997742751,8.086781609195402,15.786324786324789,3.16,877,44.82183908045977,11.302840456211856,2020.0,944900.0,100.0,Механическая
g-1944591e,Skoda Rapid,economy,petrol,engine_overheat,0.1,4.341034482758621,199.88926587922344,7.899425287356322,9.705202312138727,3.091428571428572,770,49.02298850574713,14.222409258675349,2019.0,847000.0,90.0,Механическая
b17225071g,VW Polo VI,economy,petrol,gear_stick,0.1,4.56867816091954,99.40808742247174,7.735057471264368,8.751445086705202,3.325714285714286,1034,44.741379310344826,10.127899447538654,,,,
O13657804w,Mini Cooper,business,petrol,engine_overheat,0.1,4.371149425287356,182.4054623537517,7.887931034482759,9.327586206896552,3.1028571428571428,963,49.62643678160919,14.245721067498634,2014.0,1950000.0,231.0,Классический автомат
V-7306183J,Renault Sandero,standart,petrol,engine_fuel,0.1,4.122413793103448,167.53882607433934,8.112068965517242,14.543859649122806,4.4,914,51.10919540229885,16.1289825099269,2018.0,697000.0,82.0,Механическая
A56074965v,Skoda Rapid,economy,petrol,engine_fuel,0.1,3.925114942528736,176.98447366780988,8.070689655172414,18.446428571428573,4.088571428571428,916,52.43103448275862,15.029195559139998,2019.0,847000.0,90.0,Механическая
f19927901y,Smart Coupe,economy,petrol,engine_fuel,0.1,4.347413793103448,164.44147310022723,8.037931034482758,16.10924369747899,2.7885714285714287,1003,50.06896551724138,15.367778846317522,,,,
a-7058206h,Kia Rio X,economy,petrol,engine_check,0.1,4.60896551724138,179.7583006041497,8.064942528735632,15.442622950819672,2.857142857142857,866,45.54597701149425,10.426492541971731,2020.0,944900.0,100.0,Механическая
a55365942d,Hyundai Solaris,economy,petrol,engine_fuel,0.1,4.110114942528735,179.61804476901682,8.11551724137931,16.852459016393443,3.4657142857142857,965,49.64367816091954,13.946203006569393,2020.0,780000.0,100.0,Механическая
z-1220018d,VW Polo VI,economy,petrol,wheel_shake,0.14,4.780919540229885,119.0,8.083908045977012,13.481818181818182,3.3200000000000003,957,42.798850574712645,9.63794277155226,,,,
R21058725x,Kia Rio,economy,petrol,engine_overheat,0.1,3.9791954022988505,182.0,7.808045977011494,8.60344827586207,4.454285714285715,834,51.94252873563219,14.820978977314232,2020.0,944900.0,100.0,Механическая
b-2371028p,Smart ForFour,economy,petrol,engine_ignition,0.1,4.32867816091954,165.41888157592098,7.991954022988505,7.416184971098266,3.431428571428571,957,49.14942528735632,14.498179064958064,2014.0,890000.0,71.0,Механическая
G43865383Q,Kia Rio,economy,petrol,electro_bug,0.0,4.202931034482758,200.0,7.961494252873563,6.747126436781609,4.168571428571429,911,49.17816091954023,15.033964824102016,2020.0,944900.0,100.0,Механическая
e78313402L,Kia Rio X,economy,petrol,wheel_shake,0.1,4.670574712643678,128.6081739429445,8.09655172413793,15.491379310344827,3.4571428571428573,917,43.41954022988506,9.152646909617427,2020.0,944900.0,100.0,Механическая
d-6672088A,Kia Rio X,economy,petrol,engine_fuel,0.1,4.378218390804597,155.0373454944734,8.066091954022989,17.251968503937007,3.0142857142857142,929,47.28735632183908,12.061890539015474,2020.0,944900.0,100.0,Механическая
b-8415196u,Smart ForFour,economy,petrol,another_bug,0.1,4.938505747126436,183.0,8.191379310344827,15.73873873873874,3.648571428571429,918,43.33908045977012,10.09578240013846,2014.0,890000.0,71.0,Механическая
N18957837j,VW Polo,economy,petrol,engine_fuel,0.1,4.042643678160919,184.05052424110104,8.086781609195402,14.836065573770492,3.1714285714285717,987,49.64942528735632,14.34537143990078,,,,
v69592222X,Smart ForFour,economy,petrol,another_bug,0.1,4.6819540229885055,192.0,8.070689655172414,15.657657657657658,3.5742857142857143,905,44.42528735632184,9.815797322916724,2014.0,890000.0,71.0,Механическая
n19871201N,Tesla Model 3,premium,electro,another_bug,0.1,4.648448275862069,195.2439613171936,9.245977011494253,20.782258064516128,3.56,858,44.747126436781606,11.190126108795296,,,,
A-1683178f,Smart ForTwo,economy,petrol,engine_check,0.1,4.3372988505747125,177.03417210125264,8.077011494252874,15.22608695652174,2.9057142857142857,991,47.02873563218391,10.725383516281562,2014.0,890000.0,71.0,Механическая
c-1462399e,Kia Sportage,standart,petrol,engine_ignition,0.1,3.748620689655173,187.0,7.929885057471264,7.271676300578035,2.934285714285714,865,50.2816091954023,14.072726286728765,2018.0,1544900.0,150.0,Механическая
C38293729H,Smart ForTwo,economy,petrol,engine_fuel,0.1,4.267988505747127,162.29877905302413,8.058045977011494,17.67479674796748,3.2314285714285718,983,47.37931034482759,13.27542070509816,2014.0,890000.0,71.0,Механическая
M-4645533N,Hyundai Solaris,economy,petrol,break_bug,0.1,5.328390804597701,113.68580195567236,7.97183908045977,6.839080459770115,3.611428571428572,863,43.35632183908046,9.002860189697651,2020.0,780000.0,100.0,Механическая
i22101695X,Fiat 500,business,petrol,engine_check,0.1,4.450114942528736,159.69889100318608,8.149425287356323,18.512396694214875,2.982857142857143,965,45.206896551724135,10.249644495213186,2015.0,990000.0,100.0,Механическая
c22334367p,Renault Sandero,standart,petrol,engine_overheat,0.1,4.129540229885057,190.9486179582776,7.859770114942528,9.46551724137931,3.454285714285714,955,51.52873563218391,14.301735276467154,2018.0,697000.0,82.0,Механическая
S61532080S,Hyundai Solaris,economy,petrol,engine_overheat,0.1,4.10551724137931,185.50880081960668,7.905172413793103,9.21264367816092,3.3457142857142856,932,48.70114942528736,14.634755482595068,2020.0,780000.0,100.0,Механическая
W-3482364r,Kia Rio X,economy,petrol,another_bug,0.33,4.804022988505747,194.0,8.051724137931034,14.68032786885246,3.111428571428572,823,44.10919540229885,10.23112255390592,2020.0,944900.0,100.0,Механическая
r-1098555x,VW Polo,economy,petrol,engine_fuel,0.1,4.152873563218391,159.72187442931693,8.100574712643677,15.108333333333333,3.7628571428571433,1008,48.95977011494253,14.110775284781448,,,,
J-2221564E,Smart ForTwo,economy,petrol,engine_ignition,0.1,3.9685057471264367,191.4318597471467,7.994827586206896,7.190751445086705,3.54,746,49.310344827586206,15.208235025707934,2014.0,890000.0,71.0,Механическая
t89744603y,Smart ForFour,economy,petrol,another_bug,0.1,4.886264367816092,196.0,8.104022988505747,15.252032520325203,3.3514285714285714,989,43.51149425287356,10.587777065457509,2014.0,890000.0,71.0,Механическая
R22777636m,Kia Rio X,economy,petrol,wheel_shake,0.1,4.6994252873563225,126.00949600809513,8.094827586206897,16.936,4.208571428571429,940,44.695402298850574,9.828840516896395,2020.0,944900.0,100.0,Механическая
g95201799l,Kia Rio X-line,economy,petrol,engine_ignition,0.1,4.107126436781609,185.326009245476,8.027586206896551,7.402298850574713,2.894285714285714,929,49.235632183908045,14.05878226755747,2020.0,944900.0,100.0,Механическая
b18050488U,Skoda Rapid,economy,petrol,break_bug,0.1,5.354770114942529,109.9067149081344,8.01206896551724,7.22543352601156,3.931428571428571,883,44.61494252873563,10.654099362858984,2019.0,847000.0,90.0,Механическая
C-2187827F,Kia Sportage,standart,petrol,engine_fuel,0.1,3.842068965517241,193.3685732877934,8.11609195402299,16.14406779661017,3.557142857142857,940,51.867816091954026,16.13024297881398,2018.0,1544900.0,150.0,Механическая
a-6471303K,Renault Sandero,standart,petrol,engine_ignition,0.1,4.267183908045977,173.04906333826102,7.9655172413793105,7.329479768786127,2.6714285714285717,952,48.95402298850575,14.182874999787035,2018.0,697000.0,82.0,Механическая
u16335953I,VW Tiguan,economy,petrol,engine_overheat,0.1,4.410057471264368,173.46117014572314,7.854022988505746,8.597701149425287,3.954285714285714,986,48.48275862068966,14.046053130007545,,,,
Z-1478978u,Kia Rio,economy,petrol,another_bug,0.1,4.748850574712644,196.045081713896,8.074712643678161,15.78225806451613,4.225714285714286,975,45.310344827586206,10.808164698868318,2020.0,944900.0,100.0,Механическая
u-1774078g,Smart ForFour,economy,petrol,another_bug,0.1,4.436149425287356,200.0,8.136206896551725,16.168316831683168,3.66,956,43.45977011494253,10.595346996749536,2014.0,890000.0,71.0,Механическая
e13179173i,VW Polo VI,economy,petrol,engine_ignition,0.1,4.068620689655172,189.8047665509525,8.102873563218392,8.241379310344827,3.08,760,48.54597701149425,13.64477756580435,,,,
V-9361538G,Kia Rio X-line,economy,petrol,break_bug,1.22,5.39235632183908,126.61832377854712,8.122413793103448,7.488505747126437,4.868571428571428,860,45.66091954022989,11.81724864862996,2020.0,944900.0,100.0,Механическая
C22072062B,Nissan Qashqai,standart,petrol,engine_ignition,0.1,4.244712643678161,194.8169460268608,7.9781609195402305,7.385057471264368,3.0771428571428574,932,49.793103448275865,12.679360982999633,2017.0,1413000.0,115.0,Механическая
E68314843q,Kia Sportage,standart,petrol,engine_ignition,0.1,4.208390804597701,182.0445787879931,7.958620689655172,7.189655172413793,2.8457142857142856,820,47.5632183908046,12.858681554350412,2018.0,1544900.0,150.0,Механическая
k88534152q,VW Polo,economy,petrol,wheel_shake,0.1,4.446551724137931,136.63040685162372,8.159770114942528,15.530434782608696,4.448571428571428,1001,44.21264367816092,9.874101168988608,,,,
q12920406o,Kia Sportage,standart,petrol,electro_bug,0.0,4.258965517241379,179.0,8.059195402298851,8.25287356321839,3.9,855,48.04597701149425,13.852992035884856,2018.0,1544900.0,150.0,Механическая
u-1057398c,Smart ForFour,economy,petrol,engine_ignition,0.1,4.119195402298851,180.25959685932625,8.061494252873564,7.959537572254336,2.9971428571428573,841,51.4080459770115,15.29404068756152,2014.0,890000.0,71.0,Механическая
s-3746188l,Smart ForFour,economy,petrol,break_bug,0.1,5.636091954022988,120.08519408646436,8.037931034482758,7.729885057471264,4.394285714285715,1033,45.54022988505747,9.889919662439445,2014.0,890000.0,71.0,Механическая
j37934708f,Smart ForFour,economy,petrol,engine_ignition,0.1,3.978620689655172,185.30720473884284,7.970114942528736,7.689655172413793,2.7,964,48.22988505747127,13.93187483445415,2014.0,890000.0,71.0,Механическая
M-2125716U,Smart ForFour,economy,petrol,gear_stick,0.15,4.374367816091954,102.5502181006026,7.80632183908046,9.208092485549132,3.52,926,45.2528735632184,9.88104788480657,2014.0,890000.0,71.0,Механическая
A-6734908O,VW Polo,economy,petrol,engine_check,0.79,4.671551724137931,161.3040638815686,8.108045977011495,17.776,3.1714285714285717,960,44.95977011494253,10.11686578725111,,,,
f82085811L,VW Polo,economy,petrol,engine_check,0.1,4.606034482758621,160.0,8.188505747126436,17.344,2.5771428571428574,889,44.367816091954026,9.946812243914795,,,,
