car_id,model,year,mod,price,engine,power,box,trans,body
C-5320082T,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
s17672064L,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
d19359573S,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
O22361854N,volkswagen Polo VI,,,,,,,,
i-1479300M,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
L60286103R,volkswagen Polo VI,,,,,,,,
p26377723i,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
W-1512641W,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
y-3838245t,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
b-2719977Z,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
D-2109758O,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
M89853598O,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
z34396656x,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
S19803153J,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
y35650754l,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
U-1719392C,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
Q12359942h,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
F-2082660j,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
C15164392z,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
A-6969550V,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
H21489304G,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
Y-4731644Z,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
Y-1002609O,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
q11941907L,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
W17831606Y,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
u-1788771U,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
F-1257166O,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
k82740809C,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
A13746070T,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
E-1356165C,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
w-1247670S,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
t11173721p,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
i-1340626g,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
G11530237Q,volkswagen Polo VI,,,,,,,,
z-1854947J,Smart Coupe,,,,,,,,
G-1102710u,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
q-1861373D,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
F-1720906M,Volkswagen ID.4 ,,,,,,,,
N-1361542t,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
b-1432630h,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
h-5381376K,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
P-1870462h,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
v-9248915k,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
K51907129A,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
X-1892335q,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
v19385068r,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
m-9741436p,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
I13605989C,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
C-1374739x,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
h20080273C,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
g-1944591e,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
b17225071g,volkswagen Polo VI,,,,,,,,
O13657804w,Mini Cooper,2014,2.0 6AT,1950000,Бензин,231,Классический автомат,Передний,Хэтчбек
V-7306183J,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
A56074965v,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
f19927901y,Smart Coupe,,,,,,,,
a-7058206h,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
a55365942d,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
z-1220018d,volkswagen Polo VI,,,,,,,,
R21058725x,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
b-2371028p,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
G43865383Q,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
e78313402L,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
d-6672088A,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
b-8415196u,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
N18957837j,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
v69592222X,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
n19871201N,Tesla Model 3,,,,,,,,
A-1683178f,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
c-1462399e,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
C38293729H,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
M-4645533N,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
i22101695X,Fiat 500,2015,1.4 6MT Lounge,990000,Бензин,100,Механическая,Передний,Хэтчбек
c22334367p,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
S61532080S,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
W-3482364r,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
r-1098555x,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
J-2221564E,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
t89744603y,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
R22777636m,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
g95201799l,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
b18050488U,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
C-2187827F,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
a-6471303K,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
u16335953I,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
Z-1478978u,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
u-1774078g,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
e13179173i,volkswagen Polo VI,,,,,,,,
V-9361538G,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
C22072062B,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
E68314843q,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
k88534152q,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
q12920406o,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
u-1057398c,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
s-3746188l,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
j37934708f,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
M-2125716U,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
A-6734908O,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
f82085811L,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
T-1299777v,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
i21928776j,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
y11348057n,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
a-1515400J,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
S17262804N,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
W14795073t,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
u-1594350q,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
j-1145477E,Mercedes-Benz GLC,2019,2.0 9AT Premium,4690000,Бензин,197,Классический автомат,Полный,Внедорожник
a-7125351Z,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
C73458374Q,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
H42487546s,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
f-4873956c,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
n-2171056h,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
B18328752a,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
N-4929388x,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
s-1723833v,BMW 320i,,,,,,,,
N15139629D,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
z-3170763V,Audi A4,2015,35 1.4 7AMT,2125000,Бензин,150,Робот с одним сцеплением,Передний,Седан
w-2294853S,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
v13590850L,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
N-7018320r,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
C-8860661H,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
e-1657282o,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
a-1090366N,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
T-1979577d,Audi Q3,2014,1.4 6МT,2045000,Бензин,150,Механическая,Передний,Универсал
T10443943B,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
C-7059083l,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
V-2775445H,Smart Coupe,,,,,,,,
Y-1359331n,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
J-3845561g,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
J-1519931T,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
w-1534281h,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
q25090977a,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
P14343623p,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
S87921938R,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
Z-2503410m,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
X15138491s,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
s12797973g,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
S-2166867a,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
l21968436d,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
e48349275H,Smart Coupe,,,,,,,,
J-2076735y,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
H73023939E,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
N-6929570j,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
a68025486E,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
q-4068323Z,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
V15348382y,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
u14532736a,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
V40334761U,Smart Coupe,,,,,,,,
B-2214084P,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
q-1404140E,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
A-3681208u,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
E16896376o,volkswagen Polo VI,,,,,,,,
d-2534590I,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
S-1965116I,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
b-4266665E,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
I13914989Z,Tesla Model 3,,,,,,,,
m47130393l,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
Q-7410329X,Audi A3,2016,35 1.4 7AMТ Premium,1645000,Бензин,150,Робот с одним сцеплением,Передний,Седан
d-1297927q,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
f-1056352e,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
u-2070489i,Volkswagen ID.4 ,,,,,,,,
C16363758Y,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
i14933910A,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
r-1475357U,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
X61893871I,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
j-1317678J,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
B-1975805X,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
x-7526060y,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
v-1386883Q,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
A-1463575c,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
w-9263433r,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
w19872753k,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
C-7911141r,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
s-1960417S,Audi Q3,2014,1.4 6МT,2045000,Бензин,150,Механическая,Передний,Универсал
a-8546767B,volkswagen Polo VI,,,,,,,,
F93868144g,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
T-2012068H,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
w38704997k,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
R14058273F,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
Y-1582411z,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
Q14512280H,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
S18780622c,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
K20448785V,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
c95874857y,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
g25517695C,Mercedes-Benz E200,,,,,,,,
R-1442786V,volkswagen Polo VI,,,,,,,,
g-2283000q,Tesla Model 3,,,,,,,,
I-9353552N,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
n-1751164y,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
E-2364794p,Smart Coupe,,,,,,,,
Z10584890Y,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
r21240148Z,Fiat 500,2015,1.4 6MT Lounge,990000,Бензин,100,Механическая,Передний,Хэтчбек
d13892145k,volkswagen Polo VI,,,,,,,,
N10423478l,MINI CooperSE,2014,2.0 6AT,1950000,Бензин,231,Классический автомат,Передний,Хэтчбек
X45507052P,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
w-1247054B,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
k-7428263u,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
I-1834975z,Mercedes-Benz GLC,2019,2.0 9AT Premium,4690000,Бензин,197,Классический автомат,Полный,Внедорожник
X21759757Y,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
g16808805U,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
t15817307U,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
K12580160n,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
v24501032Z,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
r-1234134E,Kia Rio X-line,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
F-4368553P,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
e19460921k,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
l60900580P,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
L-1528963w,Kia Rio,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
h-5894617f,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
s-4342091J,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
d19132071d,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
T17230987N,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
y-9963220p,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
e47564578c,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
A-1925405h,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
K-1675111t,Mercedes-Benz E200,,,,,,,,
H97009055R,volkswagen Polo VI,,,,,,,,
I19047773k,volkswagen Polo VI,,,,,,,,
n-4539806B,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
i-1648732d,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
e16769908F,Renault Kaptur,2020,1.6 5MT Life,1140000,Бензин,114,Механическая,Передний,Внедорожник
F16255698J,Kia Rio X,2020,1.4 6MT Comfort,944900,Бензин,100,Механическая,Передний,Хэтчбек
G62687264j,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
o-1192530z,Renault Sandero,2018,1.6 5MT Access,697000,Бензин,82,Механическая,Передний,Хэтчбек
I-3923390F,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
O-4279569M,volkswagen Polo VI,,,,,,,,
H16125822e,Smart ForFour,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
o86542160V,Hyundai Solaris,2020,1.4 6MT Active,780000,Бензин,100,Механическая,Передний,Седан
G13398649k,volkswagen Polo,2020,1.6 5MT Origin,877900,Бензин,90,Механическая,Передний,Лифтбэк
a11345005q,Audi A4,2015,35 1.4 7AMT,2125000,Бензин,150,Робот с одним сцеплением,Передний,Седан
I-1647122N,volkswagen Tiguan,2020,1.4 6MT Respect,1749900,Бензин,125,Механическая,Передний,Внедорожник
j39765515y,Kia Sportage,2018,2.0 6МТ Classic,1544900,Бензин,150,Механическая,Передний,Внедорожник
s22685968d,Skoda Rapid,2019,1.6 5MT Entry,847000,Бензин,90,Механическая,Передний,Хэтчбек
Z-3081671k,Nissan Qashqai,2017,1.2 6MT XE,1413000,Бензин,115,Механическая,Передний,Внедорожник
q14945093N,volkswagen Polo VI,,,,,,,,
F72202302t,Smart ForTwo,2014,1.0 5MT,890000,Бензин,71,Механическая,Задний,Хэтчбек
