car_id,model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,target_reg,target_class,min_rating,mean_rating,total_distance,max_speed,total_rides,driver_age_mean,driver_rating_mean,driver_accident_mean,fix_count,avg_destroy_degree,total_work_duration,unique_work_types,feature_min_max_diff,feature_corner,feature_mean,feature_shift,feature_start,feature_nans,feature_quant
Z-1155909A,Nissan Qashqai,standart,petrol,4.62,2013,40025,2020,41.79,engine_overheat,0.1,3.897471264367816,10833997.004137255,181.59713594116903,174,33.310344827586206,7.787931034482758,8.313953488372093,35,3.68,984,4,32.201,0.1353711098864639,13.385752873563218,347283,-3.476,0,19.103749999999998
Z-1196295K,Smart ForTwo,economy,petrol,4.54,2016,115037,2019,24.05,engine_overheat,0.1,4.130114942528736,10544424.640253257,186.1179531519749,174,33.62643678160919,7.908620689655172,9.264367816091953,35,4.731428571428571,863,4,15.809,-0.09854379514686742,-4.269459770114942,347416,0.0,0,-0.0
i31421704Y,Renault Kaptur,standart,petrol,5.34,2013,51207,2017,42.96,engine_check,0.1,4.571494252873563,9051244.23721845,156.0,174,34.10344827586207,8.059770114942529,18.204918032786885,35,3.1457142857142855,1023,3,60.995,-0.06847474117494055,33.11743678160919,494064,57.044,0,38.389250000000004
t10463236f,Mini Cooper,business,petrol,3.84,2014,58789,2022,62.44,engine_ignition,0.1,4.074942528735632,14479292.854849895,195.2360632275796,174,35.12643678160919,8.017816091954023,7.390804597701149,35,3.0885714285714285,912,4,49.313,0.02240841077696741,32.194097701149424,642501,2.711,0,39.61875
v13404305i,Kia Sportage,standart,petrol,2.7,2014,60017,2020,43.41,break_bug,0.33,5.331206896551724,9255259.719569338,112.2626779670123,174,33.57471264367816,7.998850574712644,6.9655172413793105,35,3.6885714285714286,859,5,29.011,-0.1063205738230572,-6.958896551724138,675390,-1.831,0,1.174
m20203244V,Kia Rio,economy,petrol,2.96,2014,65703,2016,35.53,engine_overheat,0.1,4.217011494252874,16509060.789360844,177.13405127768635,174,32.52298850574713,7.8356321839080465,9.275862068965518,35,3.748571428571428,876,4,66.26,0.02074878641428773,28.366758620689655,548694,1.54,0,39.34925
k-1015732Y,Nissan Qashqai,standart,petrol,5.42,2012,20276,2016,26.38,engine_overheat,0.1,4.1498275862068965,19977026.737995993,197.5346514078148,174,34.47701149425287,7.8373563218390805,8.948275862068966,35,4.694285714285715,956,3,46.117,-0.012753576638664527,-13.942068965517242,510095,0.799,0,-3.8914999999999997
m-8965256V,VW Tiguan,economy,petrol,4.9,2017,114576,2019,77.26,engine_ignition,0.1,4.067528735632184,17296276.779062003,183.49692933404805,174,35.95402298850575,7.9672413793103445,6.982758620689655,35,2.3342857142857145,936,4,14.961,-0.006337975962582285,-3.825224137931034,544445,-0.0,0,0.001
U13022243O,Renault Sandero,standart,petrol,3.8,2011,3028,2021,34.81,electro_bug,0.0,3.916206896551724,15713161.187668815,185.33961233674796,174,34.701149425287355,8.020689655172413,7.689655172413793,35,3.237142857142857,857,5,47.084,0.039139570836829986,-12.449080459770114,292291,-2.48,0,-6.17775
j12330862q,Hyundai Solaris,economy,petrol,3.86,2014,58610,2017,31.51,gear_stick,0.1,4.660172413793103,7117682.887295571,101.33342383388566,174,34.07471264367816,7.80632183908046,9.44767441860465,35,3.237142857142857,927,4,30.027,-0.0032406460212082125,-2.2076781609195404,503628,-18.431,0,4.576
C-5320082T,Kia Rio X,economy,petrol,4.36,2013,47354,2020,43.21,electro_bug,0.0,4.278965517241379,17252429.84524186,172.0510387003145,174,35.241379310344826,8.030459770114943,8.454022988505747,35,2.6228571428571428,829,4,38.838,0.047324895800433996,-11.372258620689655,36715,-22.956,0,-6.42925
s17672064L,Smart ForTwo,economy,petrol,3.18,2016,96361,2020,27.37,gear_stick,0.1,4.508448275862069,11815667.499680225,110.02402089612136,174,34.275862068965516,7.852298850574712,9.098265895953757,35,3.4657142857142857,985,4,62.667,0.04300722471119202,-10.173068965517242,631675,-8.607,0,1.9000000000000001
d19359573S,Smart ForTwo,economy,petrol,2.78,2015,93180,2017,34.48,engine_overheat,0.1,3.9448275862068964,17122201.070706572,193.7127461972635,174,33.201149425287355,7.850574712643678,9.248554913294798,35,4.191428571428571,921,3,25.268,0.1515060917581965,0.9772701149425287,420841,7.805,0,4.46425
O22361854N,VW Polo VI,economy,petrol,2.52,2011,5500,2018,37.12,engine_overheat,0.1,4.046149425287356,3803221.1174842,192.4459711469768,174,33.833333333333336,7.749425287356322,9.114942528735632,35,2.8,917,4,62.146,-0.12669060562934498,-0.2110287356321839,209430,16.651,0,11.935749999999999
i-1479300M,Skoda Rapid,economy,petrol,4.88,2017,137213,2019,85.55,another_bug,0.1,4.67183908045977,20729106.634006854,169.08232539229763,174,34.81609195402299,8.063218390804598,15.263565891472869,35,3.8,848,4,42.388999999999996,0.006234973294615488,-2.741522988505747,482366,-7.59,0,5.052
L60286103R,VW Polo VI,economy,petrol,3.88,2012,25173,2018,46.74,break_bug,0.36,5.319080459770115,10022071.901391407,122.63770448111772,174,34.18390804597701,8.020114942528735,7.517241379310345,35,3.105714285714286,919,4,29.014,0.06121079724344408,-7.019344827586207,165030,-3.361,0,0.642
p26377723i,Hyundai Solaris,economy,petrol,4.1,2013,40281,2019,32.46,break_bug,0.45,5.414597701149425,18427386.97187734,113.61741681708182,174,33.91379310344828,8.00919540229885,6.890804597701149,35,3.9,883,4,29.023,-0.013377298486211745,-6.118850574712644,589352,-14.538,0,2.472
W-1512641W,Renault Kaptur,standart,petrol,5.4,2013,47719,2018,26.21,engine_overheat,0.1,4.275977011494253,13575005.747928873,189.4908427961317,174,33.43103448275862,7.9126436781609195,9.815028901734104,35,4.645714285714286,946,3,57.989000000000004,-0.039355246760505884,15.355201149425286,312270,5.196,0,29.646
y-3838245t,Kia Sportage,standart,petrol,4.7,2015,84786,2021,36.86,engine_overheat,0.1,4.044310344827586,17452445.64929375,181.5948050220017,174,34.0919540229885,7.855747126436782,8.982558139534884,35,2.7399999999999998,919,4,76.916,0.011728874134282962,43.31009195402299,714718,45.059,0,64.0835
b-2719977Z,Kia Rio X,economy,petrol,4.5,2014,65491,2020,63.17,another_bug,0.94,4.767241379310345,15549613.848861823,200.0,174,33.293103448275865,8.083333333333334,13.945736434108527,35,3.2142857142857144,942,4,9.002,0.03843922515495907,-0.15452873563218392,384891,0.0,0,0.001
D-2109758O,VW Tiguan,economy,petrol,5.1,2015,88451,2020,30.98,engine_fuel,0.1,3.9442528735632183,22141976.486220133,168.47728484452395,174,35.9080459770115,8.047126436781609,16.388429752066116,35,3.765714285714286,817,4,14.79,0.05129336592363814,-3.7393045977011496,48982,0.0,0,-0.0
M89853598O,Kia Rio X,economy,petrol,3.82,2012,18403,2018,51.84,engine_overheat,0.1,3.995,11863044.501202293,199.4113740601043,174,32.62068965517241,7.8999999999999995,9.46551724137931,35,3.3457142857142856,819,4,41.389,0.09398914347726992,17.360821839080458,180724,14.935,0,25.61
z34396656x,Nissan Qashqai,standart,petrol,4.12,2011,251,2015,59.69,engine_ignition,0.1,3.9639655172413795,15297087.098631687,185.27939214918771,174,35.752873563218394,7.91551724137931,6.655172413793103,35,2.8885714285714283,975,4,67.166,0.075295142891802,7.6545172413793106,735943,2.787,0,25.23775
S19803153J,Hyundai Solaris,economy,petrol,5.26,2012,28216,2015,75.9,another_bug,0.12,4.627988505747126,13246043.433951415,177.0,174,33.741379310344826,8.063218390804598,17.70175438596491,35,3.505714285714286,1064,3,98.40299999999999,0.06819424053475197,-45.10041379310345,268747,3.05,0,-22.52875
y35650754l,VW Tiguan,economy,petrol,4.48,2016,105035,2018,53.18,wheel_shake,0.1,4.63,18542904.789115455,124.25252355038036,174,35.793103448275865,8.068965517241379,15.042372881355933,35,2.782857142857143,853,4,48.327,-0.055765950242458465,24.992511494252874,721679,-4.167,0,35.434749999999994
U-1719392C,Skoda Rapid,economy,petrol,5.56,2016,94354,2021,39.36,engine_overheat,0.1,3.9722988505747123,11906123.224730974,197.01095885357128,174,34.59770114942529,7.856896551724137,9.167630057803468,35,4.722857142857143,1033,4,15.979,0.013505982647145219,-4.361488505747126,288588,-0.0,0,0.001
Q12359942h,Kia Rio,economy,petrol,3.62,2014,58269,2019,34.13,electro_bug,0.0,4.1194252873563215,3910275.2890529493,176.29222859928723,174,33.94252873563219,7.9798850574712645,7.574712643678161,35,3.617142857142857,802,3,57.574,-0.02248193634997844,0.2976206896551725,235874,2.554,0,6.57625
F-2082660j,Kia Rio X,economy,petrol,4.58,2011,4083,2016,58.78,engine_ignition,0.1,4.167356321839081,17683875.318707902,191.08848264225156,174,35.01149425287356,7.969540229885058,7.068965517241379,35,3.125714285714286,779,2,49.232,-0.09260181870099715,4.507488505747126,73169,-3.828,0,13.2415
C15164392z,Skoda Rapid,economy,petrol,3.34,2016,93681,2014,30.3,electro_bug,0.0,4.655459770114942,13306107.40431244,188.9783976993745,174,35.96551724137931,7.975287356321839,6.839080459770115,35,4.334285714285714,914,4,10.024999999999999,-0.26137912776382183,-0.17204022988505746,41038,0.0,0,0.034
A-6969550V,Smart ForFour,economy,petrol,4.98,2016,106858,2014,34.79,engine_overheat,0.1,4.099540229885058,11587433.981394779,198.48929834405112,174,32.78735632183908,7.893103448275863,10.431034482758621,35,4.051428571428572,918,4,61.527,0.06201697050455569,-20.618149425287356,7071,2.251,0,-2.98975
H21489304G,Renault Kaptur,standart,petrol,4.56,2012,22533,2020,67.58,another_bug,0.21,4.839252873563218,10775576.939556593,174.22778926826246,174,33.5,8.101149425287355,11.383928571428571,35,3.5,1002,3,45.727999999999994,-0.006887204423558061,-1.2505747126436781,107485,6.186,0,6.759
Y-4731644Z,Kia Rio X,economy,petrol,5.7,2013,48487,2019,36.61,electro_bug,0.0,4.926149425287356,13327345.334956426,173.3784470017017,174,34.804597701149426,8.079885057471264,7.954022988505747,35,3.2114285714285717,914,4,51.409,-0.027908776876334165,-16.705666666666666,340899,-9.803,0,-8.46
Y-1002609O,Renault Kaptur,standart,petrol,5.8,2012,21154,2018,25.7,gear_stick,0.1,4.51735632183908,15308274.793739855,106.10855165450626,174,34.247126436781606,7.775287356321839,8.884393063583815,35,3.9542857142857146,855,4,64.181,-0.03139360820003611,-32.23575862068965,335911,-5.416,0,-19.82625
q11941907L,Skoda Rapid,economy,petrol,3.46,2017,111468,2017,60.74,engine_ignition,0.1,3.8498275862068967,10140081.849360518,188.93888746580387,174,34.00574712643678,8.073563218390804,7.977011494252873,35,3.0771428571428574,1025,4,51.518,-0.10267911051779499,7.840781609195402,599355,-1.355,0,25.9265
W17831606Y,Hyundai Solaris,economy,petrol,3.22,2014,55735,2016,99.12,another_bug,0.1,4.567528735632184,11506386.484044436,190.0,174,33.270114942528735,8.091954022988507,16.897435897435898,35,3.3028571428571425,808,4,3.001,0.027787713546539222,-0.029494252873563217,319350,0.0,0,-0.0
u-1788771U,VW Polo,economy,petrol,4.54,2012,19239,2018,32.91,engine_fuel,0.1,4.005057471264368,8906595.130459595,176.41196496069557,174,33.71264367816092,8.120689655172415,20.43548387096774,35,4.445714285714286,949,4,55.815,0.05845163355452474,-5.452005747126437,654156,4.825,0,4.0485
F-1257166O,Kia Rio X,economy,petrol,5.12,2012,19918,2015,34.74,engine_overheat,0.1,3.967126436781609,14842370.708165454,182.81232444321336,174,31.89080459770115,7.892528735632184,9.64367816091954,35,3.6885714285714286,907,3,13.43,-0.20556037904990201,-3.087626436781609,69537,0.0,0,-0.001
k82740809C,Renault Sandero,standart,petrol,4.68,2014,59221,2015,37.76,engine_fuel,0.1,4.11235632183908,9660830.539986135,177.16996506616007,174,34.82183908045977,8.067241379310346,16.26271186440678,35,3.1,906,5,62.209999999999994,0.10429188637525016,29.026350574712644,524179,1.701,0,46.919000000000004
A13746070T,Renault Sandero,standart,petrol,3.36,2011,6019,2021,26.8,break_bug,0.1,5.20448275862069,14720220.762335733,123.619141685415,174,35.35632183908046,8.047701149425286,7.666666666666667,35,4.414285714285715,936,4,78.782,-0.08347971898872508,-34.90224137931035,9533,-0.892,0,-15.65
E-1356165C,Kia Sportage,standart,petrol,3.72,2015,75739,2016,34.76,break_bug,0.85,5.402298850574713,8515352.661026279,106.6379771119483,174,34.28735632183908,7.985057471264368,7.17816091954023,35,4.114285714285714,1023,4,29.009,-0.14176318591005635,-7.779235632183908,58650,-10.168,0,1.83875
w-1247670S,Nissan Qashqai,standart,petrol,5.18,2013,44612,2016,51.51,engine_overheat,0.1,4.254425287356321,6001695.738261409,181.0461654805773,174,34.695402298850574,7.83448275862069,9.601156069364162,35,3.3971428571428572,842,4,45.298,0.11397380092062863,16.29055172413793,683585,32.36,0,23.36075
t11173721p,Kia Rio X,economy,petrol,4.62,2014,56626,2018,35.02,engine_overheat,0.1,4.097758620689655,13709487.642575145,182.2791399577897,174,32.660919540229884,7.913218390804598,8.942196531791907,35,4.268571428571429,780,4,50.958,-0.11374719448993559,-12.669471264367814,643034,0.666,0,-5.692
i-1340626g,Smart ForTwo,economy,petrol,5.84,2013,38431,2020,36.46,electro_bug,0.0,4.256264367816092,10615759.486011952,184.88662278210808,174,35.47126436781609,7.931609195402299,6.977011494252873,35,3.142857142857143,876,4,77.251,0.07942079327614622,-7.564419540229886,482100,-0.134,0,8.32475
G11530237Q,VW Polo VI,economy,petrol,4.62,2015,87418,2019,30.67,engine_fuel,0.1,3.985344827586207,12960569.015091175,179.75906074515763,174,34.1551724137931,8.159770114942528,15.912280701754385,35,3.8314285714285714,876,5,74.463,-0.31701009562356613,12.412080459770117,89529,-0.308,0,29.1405
z-1854947J,Smart Coupe,economy,petrol,4.86,2014,63075,2020,99.0,another_bug,0.22,4.856896551724138,18600471.591976333,196.6015272676526,174,33.64942528735632,8.132758620689655,13.98165137614679,35,3.5142857142857142,892,3,8.0,0.11103874977031807,-0.19008045977011492,727092,-0.0,0,-0.0
G-1102710u,VW Polo,economy,petrol,4.52,2011,8768,2020,24.65,electro_bug,0.0,4.346206896551724,15341783.419372523,198.5944433202849,174,34.06896551724138,7.991954022988505,8.005747126436782,35,4.002857142857143,859,4,51.402,-0.2827429581765587,5.825367816091954,83574,0.635,0,13.70875
q-1861373D,Smart ForTwo,economy,petrol,4.46,2013,43385,2016,47.46,another_bug,0.1,4.795919540229885,19991985.60114994,181.0690689368081,174,34.160919540229884,8.148275862068965,18.871794871794872,35,3.76,1094,4,53.599,-0.0018364680407872754,19.295155172413793,595870,4.11,0,29.4685
F-1720906M,Volkswagen ID.4 ,premium,electro,5.8,2014,52932,2021,100.95,another_bug,0.1,4.793275862068965,9115999.583306326,171.0,174,33.35057471264368,9.22528735632184,22.02912621359223,35,3.877142857142857,1043,4,69.154,-0.025236504988775253,11.354488505747126,72083,1.369,0,35.071
N-1361542t,Kia Sportage,standart,petrol,4.14,2012,23529,2015,50.79,engine_ignition,0.1,3.9530459770114943,13801992.470755732,191.02478969031603,174,34.695402298850574,7.929885057471264,6.5344827586206895,35,3.222857142857143,1007,4,42.254000000000005,0.13877909449507697,13.4948908045977,182619,-2.312,0,25.7115
b-1432630h,VW Polo,economy,petrol,5.34,2013,38078,2019,35.18,wheel_shake,0.1,4.567471264367816,14536924.184936164,119.0,174,34.31609195402299,8.068390804597701,14.860655737704919,35,3.442857142857143,849,4,16.5,0.06431534075827533,-2.390787356321839,380516,0.0,0,0.0
h-5381376K,Kia Sportage,standart,petrol,4.38,2014,57212,2020,68.67,engine_ignition,0.1,4.288045977011494,13938106.405475862,191.9809966070908,174,33.8448275862069,7.922988505747126,7.057471264367816,35,2.1685714285714286,845,4,15.301,-0.12080313591480646,-4.000959770114942,472379,0.0,0,0.0
P-1870462h,Hyundai Solaris,economy,petrol,5.78,2015,85556,2020,49.52,break_bug,0.1,5.322011494252873,4148047.5482452274,136.88354743464512,174,34.839080459770116,7.859195402298851,7.339080459770115,35,2.9228571428571426,797,4,87.49499999999999,0.053800246996682434,-37.22263218390805,213671,-0.783,0,-11.69675
v-9248915k,Kia Rio,economy,petrol,4.42,2013,43498,2018,30.81,gear_stick,0.1,4.392011494252873,18596015.721761808,105.05018426587966,174,32.93103448275862,7.842528735632183,8.491329479768787,35,3.337142857142857,856,3,64.304,0.11700549480397958,-30.379965517241377,673660,-35.298,0,-15.498
K51907129A,Smart ForTwo,economy,petrol,5.38,2014,61307,2021,34.83,electro_bug,0.0,4.191091954022989,11204686.702910718,200.0,174,35.172413793103445,7.959195402298851,7.442528735632184,35,3.3400000000000003,864,3,40.731,0.11507284785925666,11.22106896551724,151064,7.337,0,19.097499999999997
X-1892335q,Hyundai Solaris,economy,petrol,3.68,2015,76475,2019,34.3,engine_overheat,0.1,4.2748850574712645,12828868.5356765,191.66632929664712,174,33.62643678160919,7.741379310344827,8.982758620689655,35,2.8400000000000003,861,4,46.742000000000004,-0.16131677443097506,3.6363965517241374,325662,1.528,0,12.42375
v19385068r,Smart ForTwo,economy,petrol,3.9,2015,85592,2016,34.63,wheel_shake,0.26,4.6451149425287355,19986642.190882027,146.07247806839624,174,33.5919540229885,8.183333333333334,18.39090909090909,35,3.58,880,3,47.534,-0.07458181476120627,0.021741379310344835,676792,13.178,0,9.589
m-9741436p,Kia Rio X-line,economy,petrol,3.96,2015,82062,2014,37.65,electro_bug,0.0,4.294655172413793,18575394.57881134,180.94447330813827,174,33.189655172413794,7.970689655172414,7.942528735632184,35,3.517142857142857,979,5,64.842,-0.009139435539868606,-27.504580459770114,544739,-3.276,0,-18.62275
I13605989C,VW Tiguan,economy,petrol,4.04,2013,40885,2022,46.37,wheel_shake,0.1,4.669022988505747,8780774.256559843,137.91845786696285,174,35.201149425287355,8.128735632183908,15.11111111111111,35,3.1942857142857144,830,4,87.32600000000001,0.027063981437114814,-24.79723563218391,120870,6.239,0,-2.4745
C-1374739x,Hyundai Solaris,economy,petrol,5.16,2013,38432,2015,79.84,another_bug,0.65,4.761091954022988,9534394.12690729,173.0,174,33.04597701149425,8.176436781609196,16.511627906976745,35,3.237142857142857,822,4,46.269000000000005,-0.023046008283622608,2.4787413793103448,31817,0.016,0,7.3635
h20080273C,Kia Rio,economy,petrol,3.44,2013,47064,2020,31.35,wheel_shake,0.1,4.368850574712644,8652657.216118712,131.8727997742751,174,34.58045977011494,8.086781609195402,15.786324786324787,35,3.1599999999999997,877,3,41.679,-0.02579142194434367,8.145758620689655,478605,3.897,0,15.69575
g-1944591e,Skoda Rapid,economy,petrol,4.7,2017,109697,2021,55.78,engine_overheat,0.1,4.341034482758621,10723459.266067225,199.88926587922344,174,33.35057471264368,7.899425287356322,9.705202312138729,35,3.0914285714285716,770,3,14.28,0.11853724752578587,-3.488637931034483,455858,-0.0,0,-0.00125
b17225071g,VW Polo VI,economy,petrol,3.42,2012,22261,2014,26.07,gear_stick,0.1,4.56867816091954,6596599.410381081,99.40808742247174,174,34.09770114942529,7.735057471264368,8.751445086705202,35,3.325714285714286,1034,4,35.013,-0.02397838603399238,-5.190873563218391,391224,4.272,0,4.271
O13657804w,Mini Cooper,business,petrol,3.26,2013,48070,2016,52.88,engine_overheat,0.1,4.371149425287356,10039257.06231372,182.4054623537517,174,33.50574712643678,7.887931034482759,9.327586206896552,35,3.1028571428571428,963,4,38.143,-0.06270419220186449,-6.940609195402298,206649,6.417,0,0.6950000000000001
V-7306183J,Renault Sandero,standart,petrol,5.14,2011,18628,2020,37.62,engine_fuel,0.1,4.122413793103448,8913479.75499434,167.53882607433934,174,34.160919540229884,8.112068965517242,14.543859649122806,35,4.4,914,3,75.488,0.18314016022151625,-7.543183908045976,302851,1.436,0,9.048749999999998
A56074965v,Skoda Rapid,economy,petrol,3.48,2017,128159,2017,31.04,engine_fuel,0.1,3.9251149425287357,19384103.001548592,176.98447366780988,174,33.695402298850574,8.070689655172414,18.446428571428573,35,4.088571428571428,916,4,73.897,-0.05985412250704805,29.595908045977012,13671,0.854,0,41.86325
f19927901y,Smart Coupe,economy,petrol,4.02,2015,80183,2017,46.51,engine_fuel,0.1,4.347413793103448,9238479.808522522,164.44147310022723,174,34.64367816091954,8.037931034482758,16.10924369747899,35,2.7885714285714287,1003,4,38.599,-0.10396156551464487,8.586988505747126,449011,-2.712,0,15.6195
a-7058206h,Kia Rio X,economy,petrol,4.98,2012,20772,2016,50.87,engine_check,0.1,4.60896551724138,8820497.211971529,179.7583006041497,174,32.71264367816092,8.064942528735632,15.442622950819672,35,2.857142857142857,866,4,77.098,-0.029416182583594516,0.39232758620689656,370191,-3.213,0,13.146
a55365942d,Hyundai Solaris,economy,petrol,4.02,2015,72800,2020,29.37,engine_fuel,0.1,4.110114942528735,15220442.532031942,179.61804476901682,174,34.01149425287356,8.11551724137931,16.852459016393443,35,3.4657142857142857,965,4,48.982,-0.08198076813330321,23.32594827586207,376809,-2.577,0,31.28
